author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,created_at.y,username,location,verified,name,url,description
53161800,2021-04-20T23:38:41.000Z,1384652774789599232,en,@MaherIsi @felipekast @senadornavarro Fucking right!!,0,0,0,0,2009-07-02T19:29:36.000Z,fcarrasco2909,"Santiago, Chile",FALSE,BabyFace,https://t.co/EmzyfPWWBg,"Padres de tres mujeres maravillosas q Dios me dio, doglover, Chato de los políticos"
55348689,2021-04-21T00:32:15.000Z,1384666255878246402,es,@marjoriecuello #tercerretiroYa Es justo y necesario. El gobierno que apoye esta remando para el lado equivocado. Salgamos a la calle y abramos los ojos @felipekast,0,0,1,0,2009-07-09T20:17:49.000Z,nachoadaos,Santiago,FALSE,Ignacio Adaos,https://t.co/xyqgL8Du1p,Nutricionista en UCI y Urgencia CHSJ @Hosp_SanJose. ex Pdte FEUFRO 12-13 @UFrontera Liberal
57684773,2021-04-20T17:47:37.000Z,1384564424141312009,es,"@felipekast @senadornavarro El senador Navarro estuvo en la defensa de los Derechos Humanos en la cruel dictadura en Chile, ¿y tu dónde estuviste?",0,0,0,0,2009-07-17T16:22:12.000Z,csepulveda_ch,"ÜT: -32.9321205,-71.5240348",FALSE,Carlos E. Sepúlveda,"",Informático con vista al mar. Feliz de amar a @donosoAndy y a mis hijos Antonia y José Tomás.
61940003,2021-04-20T23:17:54.000Z,1384647543469060099,es,@felipekast @senadornavarro Uuuuu maricon y conchetumadre así que navarro defendía a Pinochet,0,0,0,0,2009-08-01T02:37:16.000Z,pesando,"",FALSE,FUERZA TRABAJADORES,"",""
64475780,2021-04-20T15:16:51.000Z,1384526483591421953,es,@SergioLopez449 @felipekast @senadornavarro Y como siendo niños hicieron eso???,0,0,0,0,2009-08-10T18:33:15.000Z,mariomarmota,Iquique - Chile,FALSE,Mario Segura,"","Del NorteGrande. La Vida y la Libertad valen el esfuerzo.
No tengo el gen de la empatía, algo del de la Razón.
Las palabras no crean realidades sino ilusiones."
65153439,2021-04-20T17:23:15.000Z,1384558291292991488,es,"@felipekast @senadornavarro No te cansas ? Esa fijación que tiene la derecha con Venezuela o Cuba. Tu silencio te hace cómplice de la dictadura de este gobierno, y de todas las mutilaciones y asesinatos que han existido.",0,0,0,0,2009-08-12T20:39:43.000Z,Marx_tin,Santiago,FALSE,Martín Sanhueza,"",Trabajador Social F19 y Melómano. De Spinettalandia 🎸 #Apruebo
66015561,2021-04-20T16:11:26.000Z,1384540218867519488,es,@felipekast @senadornavarro Hipócrita! No has hecho otra cosa que allanarles el camino,0,0,0,0,2009-08-16T00:50:49.000Z,eduardoletelier,Chile,FALSE,EL,https://t.co/5KQ6eNfq0Z," 'Quien renuncia a su libertad por seguridad, no merece ni libertad ni seguridad'  No puedo tener nada en común con gente que encierra a los sanos"
68410050,2021-04-20T14:48:54.000Z,1384519448749649922,es,"@felipekast @senadornavarro La dictadura más criminal del continente no es Venezuela Felipe, está claro? Cierto??",0,0,0,0,2009-08-24T13:43:18.000Z,gmo10cc,"ÜT: -33.442315,-70.596995",FALSE,Guillermo Montecinos,"",""
71299363,2021-04-20T18:29:48.000Z,1384575040797220869,es,"@GermanF80901645 @leugimfigueroa @biobio @felipekast Alternativa hay, es hacerse responsable del voto, saber no solo por quien uno vota, sino a que partido pertenece y quien financia ese partido, saber como votan y han votado los parlamentarios de ese partido, a quienes han favorecido y a quienes han perjudicado con sus posturas.",0,1,0,0,2009-09-03T16:48:12.000Z,innuovo,Curicò,FALSE,innuovo,https://t.co/mNgK3MsyIa,"Pesimo cantante y humorista, critico sin remedio, agnostico sin mucho convencimiento, fotografo de pacotilla, escritor d mala muerte, actor d pesima categoria,"
71299363,2021-04-20T17:38:46.000Z,1384562197804818438,es,"@GermanF80901645 @leugimfigueroa @biobio @felipekast De que a #Navarro lo elegimos nosotros, con la ley de representatividad vigente, la misma ley que permite que los partidos políticos usen nuestros votos para vender normativas, leyes y decretos a sus financistas, que son una reducida élite #nefasta e #infeliz. fin del comunicado.",0,1,0,0,2009-09-03T16:48:12.000Z,innuovo,Curicò,FALSE,innuovo,https://t.co/mNgK3MsyIa,"Pesimo cantante y humorista, critico sin remedio, agnostico sin mucho convencimiento, fotografo de pacotilla, escritor d mala muerte, actor d pesima categoria,"
